Feature,AD_Mean,HC_Mean,AD_Std,HC_Std,U_Statistic,P_Value,Effect_Size,Significant
T3_theta,0.4310524285478413,-0.07729775763937705,0.4335631782944559,0.27704740564790115,27577.0,3.8404352479890464e-19,1.3972513015868728,True
Fz_theta,0.3907062483937459,-0.05204108932912205,0.38691269929209915,0.31670847603333574,27034.0,1.8838071181630384e-17,1.252264314550075,True
F7_theta,0.424741476574611,-0.005333514210414055,0.39473485049779966,0.3066742326677224,26552.0,5.081540976120679e-16,1.2167651020150718,True
F8_theta,0.37855795897199923,-0.028818045870971427,0.4013683351157328,0.2881052951089414,26455.0,9.683762489086743e-16,1.1660723139038567,True
F3_theta,0.32564918971935,-0.06944033658388753,0.3760470571420176,0.33244772960588764,25975.0,2.1518435245910212e-14,1.1131869006254689,True
F4_theta,0.3410876606895287,-0.05846466516893546,0.40379352002403057,0.3164457455062012,26200.0,5.123880815123939e-15,1.1014285962839958,True
Fp1_theta,0.38517060915706336,0.003293862246483733,0.41921456423453085,0.3515099051731552,25182.0,2.6042078888273004e-12,0.9871537668026348,True
C3_theta,0.15010631230302277,-0.20435211997974664,0.3833627473165788,0.34289947471894033,24833.0,1.8894927391689875e-11,0.9746054869743472,True
Fp2_theta,0.35883805146200115,-0.008384847466056014,0.43708250907022594,0.36658550006587964,24467.0,1.387529006514048e-10,0.9103713800487281,True
Fp1_gamma,-0.9871365485873526,-1.394506139961356,0.5088387617568294,0.4026281917478318,23768.0,4.918181365664074e-09,0.8878691549564129,True
Cz_theta,0.23286214458808174,-0.052177058243149776,0.3568453657958559,0.3234532480414941,23940.0,2.1046166596679707e-09,0.8369749561801618,True
F3_gamma,-1.1472866372775257,-1.5243682405001944,0.5923136430589531,0.411240387346748,23408.0,2.733126196390748e-08,0.73955050140901,True
Cz_beta,-0.6403640834062809,-0.858833201378629,0.3252512230345033,0.30200443063185695,22424.0,1.94488083433503e-06,0.6961092644274856,True
Fp1_beta,-0.46661029431751627,-0.6840534359611542,0.36720015017377267,0.27614699542521404,21648.0,3.639740251690113e-05,0.6693043989378844,True
F4_gamma,-1.1885178792848643,-1.4916481655667522,0.6028419716254081,0.44051913982836854,22435.0,1.860666172633619e-06,0.574157990313277,True
Cz_gamma,-1.5916628742171746,-1.7815819567850084,0.3150662139406732,0.35180906134642165,21989.0,1.0529494951434864e-05,0.5687164518195073,True
F3_beta,-0.5106458336354207,-0.6978463436200976,0.3640090599615177,0.3044489860455306,21488.0,6.351105679123897e-05,0.5578863784908851,True
Fp2_gamma,-1.05678683181405,-1.2848124325663897,0.46860785339229977,0.47761252252563835,20811.0,0.0005608177941088451,0.48194962170021755,True
F4_beta,-0.5040659389701989,-0.6600835461306964,0.3555488052401796,0.34103475265572186,20683.0,0.0008198688143656727,0.44785366976994856,True
Fz_gamma,-1.674294172613795,-1.790860123465168,0.3556673459318376,0.3111884099910961,19938.0,0.006119207685031493,0.34882362858424226,True
C3_beta,-0.6332508498243833,-0.7339505976917331,0.3193699285170485,0.3162371442539855,19771.0,0.00916653384443143,0.31685778540638354,True
Fp2_beta,-0.5174743567858218,-0.6042914477198499,0.33318440440332986,0.321295704098957,18933.0,0.05415145606150779,0.26525717064981946,False
F8_delta,0.6069901587400675,0.5099106974062485,0.4395447320316402,0.33494003578403164,18490.0,0.11733335158045786,0.24843851939306458,False
T3_delta,0.46467117500058974,0.3731144477873801,0.42544232911436813,0.3198760557764279,18646.0,0.09051610433824421,0.2432569239874066,False
C3_gamma,-1.3729620991684104,-1.4750920520522972,0.49786601422011334,0.4062668100187723,18171.0,0.19116140391090197,0.22476746133354747,False
F3_delta,0.24204090782683568,0.32527859971975437,0.4064520809210211,0.3444325797576088,13719.0,0.021140152966914,0.22095327823098548,True
