Feature1,Feature2,Correlation
T1_Fp1_delta,T1_Fp2_delta,0.8729991590437328
T1_Fp1_theta,T1_Fp2_theta,0.8723573122965186
T1_Fp1_alpha,T1_Fp2_alpha,0.8930017478090753
T1_Fp1_alpha,T1_F7_alpha,0.8342603265106059
T1_Fp1_alpha,T1_F3_alpha,0.8236411126483513
T1_Fp1_alpha,T1_Fz_alpha,0.806507866177253
T1_Fp1_beta,T1_Fp1_gamma,0.8515127627533253
T1_Fp2_alpha,T1_F4_alpha,0.8221243989100084
T1_Fp2_beta,T1_Fp2_gamma,0.8327876153473485
T1_F3_delta,T1_Fz_delta,0.8019941739684873
T1_F3_theta,T1_Fz_theta,0.8379938955437861
T1_F3_alpha,T1_Fz_alpha,0.8986953621339648
T1_F3_alpha,T1_F4_alpha,0.8123169460986938
T1_F3_beta,T1_F3_gamma,0.8576045409007145
T1_Fz_theta,T1_F4_theta,0.8514972432300753
T1_Fz_alpha,T1_F4_alpha,0.8928227477048576
