,band,sequence,ad_mean,hc_mean,ad_std,hc_std,effect_size
delta_T1,delta,1,0.4151906259514639,0.4010186153959772,0.36953284582835594,0.19741588939329976,0.04783808764238707
theta_T1,theta,1,0.3668072716754858,-0.058984912356304375,0.32995468855321236,0.2791707806608927,1.3932106405295301
alpha_T1,alpha,1,0.03466824119043096,0.06529955814220913,0.336239643004782,0.5431815100541668,0.06781029598754698
beta_T1,beta,1,-0.5635397288575025,-0.6003763285234874,0.21453641502336068,0.27001533003794986,0.15105713456644781
gamma_T1,gamma,1,-1.246866264128473,-1.402473887531678,0.33935995015023535,0.3215505076160823,0.4707177999965677
delta_T2,delta,2,0.39313585709851007,0.4065982203221996,0.3899687173699861,0.18872628536015887,0.043945258080588245
theta_T2,theta,2,0.3592015341592271,-0.054290315169397335,0.3275215319214973,0.2646883253838222,1.3886427191037405
alpha_T2,alpha,2,0.0331220009337031,0.07859034565293302,0.3227681410498596,0.5534057174265055,0.10036927898172002
beta_T2,beta,2,-0.5657810165034186,-0.5948561918200986,0.21246650562409233,0.2748410790410691,0.11836419435379203
gamma_T2,gamma,2,-1.254538438623494,-1.4042028946501994,0.3298849804203583,0.33092365025303205,0.45297311263482404
